"File","Line","Col","Msg"
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\arcade_icons\stickers\bolt.svg","15","66","' ' is an unexpected token. The expected token is '>'. Line 15, position 66."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\arcade_icons\stickers\chat_bubble.svg","15","135","' ' is an unexpected token. The expected token is '>'. Line 15, position 135."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\arcade_icons\stickers\cherry.svg","17","111","' ' is an unexpected token. The expected token is '>'. Line 17, position 111."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\arcade_icons\stickers\coin.svg","17","104","' ' is an unexpected token. The expected token is '>'. Line 17, position 104."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\arcade_icons\stickers\controller.svg","15","148","' ' is an unexpected token. The expected token is '>'. Line 15, position 148."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\arcade_icons\stickers\heart_pixel.svg","15","116","' ' is an unexpected token. The expected token is '>'. Line 15, position 116."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\arcade_icons\stickers\music_note.svg","15","172","' ' is an unexpected token. The expected token is '>'. Line 15, position 172."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\arcade_icons\stickers\portal.svg","12","120","' ' is an unexpected token. The expected token is '>'. Line 12, position 120."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\arcade_icons\stickers\shield.svg","15","88","' ' is an unexpected token. The expected token is '>'. Line 15, position 88."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\arcade_icons\stickers\skull.svg","15","155","' ' is an unexpected token. The expected token is '>'. Line 15, position 155."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\arcade_icons\stickers\sword.svg","15","105","' ' is an unexpected token. The expected token is '>'. Line 15, position 105."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cosmic_dreams\stickers\astronaut.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cosmic_dreams\stickers\aurora.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cosmic_dreams\stickers\comet.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cosmic_dreams\stickers\constellation.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cosmic_dreams\stickers\crescent_moon.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cosmic_dreams\stickers\galaxy_spiral.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cosmic_dreams\stickers\meteor.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cosmic_dreams\stickers\nebula.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cosmic_dreams\stickers\planet_ring.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cosmic_dreams\stickers\rocket.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cosmic_dreams\stickers\solar_system.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cute_critters\stickers\bear_hug.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cute_critters\stickers\bunny.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cute_critters\stickers\fox.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cute_critters\stickers\hedgehog.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cute_critters\stickers\kitten.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cute_critters\stickers\owl.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cute_critters\stickers\panda.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cute_critters\stickers\penguin.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cute_critters\stickers\raccoon.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cute_critters\stickers\sloth.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cute_critters\stickers\whale.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cyberpunk_vibes\stickers\circuit_heart.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cyberpunk_vibes\stickers\circuit_pattern.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cyberpunk_vibes\stickers\cyber_eye.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cyberpunk_vibes\stickers\cyber_skull.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cyberpunk_vibes\stickers\data_stream.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cyberpunk_vibes\stickers\glitch_heart.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cyberpunk_vibes\stickers\hologram_star.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
"D:\mini.shops\Valentines\simp.v\packs\sticker_packs\cyberpunk_vibes\stickers\hologram_text.svg","7","7","The 'feGaussianBlur' start tag on line 4 position 8 does not match the end tag of 'filter'. Line 7, position 7."
