full_path,file_name,size_bytes,last_modified,is_duplicate,duplicate_of,app_name,description,created,error,extension,file_hash,host,is_app_container,last_accessed,os,os_version,parent_folder,responsible_party,root_folder,scan_timestamp,subrole,username
.\COLOR_AUDIT_REPORT.md,COLOR_AUDIT_REPORT.md,17133,2026-01-29T15:33:03.313615,False,,,,2026-01-29T15:32:48.062082,,.md,482d586f76234fde1fa8cc121d7cce72,AV-LT,False,2026-01-29T15:32:48.062082,Windows,10.0.26200,.,Unknown,.,2026-01-29T17:06:54.744281,content_asset,Timbr
.\scan_dir.py,scan_dir.py,7784,2025-11-13T00:17:15.040000,False,,,,2026-01-29T17:05:32.641170,,.py,0a01176fad070aa0e3f07fb8c9334246,AV-LT,False,2026-01-29T17:05:32.641170,Windows,10.0.26200,.,Unknown,.,2026-01-29T17:06:54.764042,general,Timbr
.\STICKER_INTEGRATION_SUMMARY.md,STICKER_INTEGRATION_SUMMARY.md,3924,2026-01-28T03:15:29.861733,False,,,,2026-01-28T03:15:29.835898,,.md,117b9e6ec4d082efdf787d001c6932bd,AV-LT,False,2026-01-28T03:15:29.835898,Windows,10.0.26200,.,Unknown,.,2026-01-29T17:06:54.672019,content_asset,Timbr
.\pack_audit_report.json,pack_audit_report.json,12882,2026-01-29T00:29:38.724039,False,,,,2026-01-29T00:18:38.225648,,.json,69b50bcbdcb4bda843df51438cf519f7,AV-LT,False,2026-01-29T00:18:38.225648,Windows,10.0.26200,.,Unknown,.,2026-01-29T17:06:54.769547,general,Timbr
.\serve.py,serve.py,765,2026-01-27T02:03:22.985895,False,,,,2026-01-27T21:18:29.676927,,.py,9eb65b226f6995b899c0d05f33679653,AV-LT,False,2026-01-27T21:18:29.676927,Windows,10.0.26200,.,Unknown,.,2026-01-29T17:06:54.759057,general,Timbr
.\VAL_DEV_FEATURES_COMPARISON.md,VAL_DEV_FEATURES_COMPARISON.md,14616,2026-01-28T22:50:15.275712,False,,,,2026-01-28T15:45:54.384176,,.md,2f9a0f64acbb7aaef73cc724ae2a6c29,AV-LT,False,2026-01-28T15:45:54.384176,Windows,10.0.26200,.,Unknown,.,2026-01-29T17:06:54.751998,content_asset,Timbr
.\CARDPACK_IMPORT_WORKFLOW.md,CARDPACK_IMPORT_WORKFLOW.md,7027,2026-01-28T02:46:54.058065,False,,,,2026-01-28T02:46:54.019872,,.md,a4a39f106822eab20cabe44b5f3b8b68,AV-LT,False,2026-01-28T02:46:54.019872,Windows,10.0.26200,.,Unknown,.,2026-01-29T17:06:54.737840,content_asset,Timbr
.\README.md,README.md,366,2026-01-28T23:23:48,False,,,,2026-01-28T23:23:48,,.md,a5fa85800e739c0eaac8b5d0be467832,AV-LT,False,2026-01-28T23:23:48,Windows,10.0.26200,.,Unknown,.,2026-01-29T17:06:54.768531,content_asset,Timbr
.\AUDIT_REPORT.md,AUDIT_REPORT.md,11150,2026-01-28T02:42:56.079839,False,,,,2026-01-28T02:42:56.056782,,.md,b512487d3d07ebd247eba2ce66134475,AV-LT,False,2026-01-28T02:42:56.056782,Windows,10.0.26200,.,Unknown,.,2026-01-29T17:06:54.760925,content_asset,Timbr
.\pack_audit_output.txt,pack_audit_output.txt,12904,2026-01-29T00:18:40.724853,False,,,,2026-01-29T00:18:22.067442,,.txt,7b5a9c7d931d0d8a38d3d73001ac85c1,AV-LT,False,2026-01-29T00:18:22.067442,Windows,10.0.26200,.,Unknown,.,2026-01-29T17:06:54.770737,content_asset,Timbr
